"question","answer"
"What is the capital of Spain?","Madrid is the capital of Spain."
"Who invented the steam engine?","Thomas Newcomen and James Watt developed the steam engine."
"What is the smallest bone in the human body?","The stapes in the ear is the smallest bone in the human body."
"What is the capital of Norway?","Oslo is the capital of Norway."
"How many elements are in the periodic table?","There are 118 elements in the periodic table."
"What is the largest rainforest in the world?","The Amazon rainforest is the largest rainforest in the world."
"Who wrote Moby Dick?","Herman Melville wrote Moby Dick."
"What is the capital of Sweden?","Stockholm is the capital of Sweden."
"How many ounces are in a pound?","There are 16 ounces in a pound."
"What is the hardest natural substance on Earth?","Diamond is the hardest natural substance on Earth."
"What is the capital of Portugal?","Lisbon is the capital of Portugal."
"Who invented the radio?","Guglielmo Marconi invented the radio."
"What is the largest bird in the world?","The ostrich is the largest bird in the world."
"What is the capital of Belgium?","Brussels is the capital of Belgium."
"How many grams are in a kilogram?","There are 1,000 grams in a kilogram."
"What is the most abundant element in the universe?","Hydrogen is the most abundant element in the universe."
"What is the capital of Netherlands?","Amsterdam is the capital of Netherlands."
"Who discovered electricity?","Benjamin Franklin and others contributed to the discovery of electricity."
"What is the smallest mammal on Earth?","The bumblebee bat is the smallest mammal on Earth."
"What is the capital of Switzerland?","Bern is the capital of Switzerland."
"How many pages are in the Bible?","The Bible typically has around 1,200 pages depending on the edition."
"What is the most expensive metal in the world?","Rhodium is the most expensive metal in the world."
"What is the capital of Austria?","Vienna is the capital of Austria."
"Who composed the Four Seasons?","Antonio Vivaldi composed the Four Seasons."
"What is the warmest ocean in the world?","The Indian Ocean is the warmest ocean in the world."
"What is the capital of Ireland?","Dublin is the capital of Ireland."
"How many milliliters are in a liter?","There are 1,000 milliliters in a liter."
"What is the most poisonous animal on Earth?","The box jellyfish is considered the most poisonous animal on Earth."
"What is the capital of Scotland?","Edinburgh is the capital of Scotland."
"Who invented the vaccine?","Edward Jenner invented the first vaccine."
"What is the oldest language still in use?","Greek is considered one of the oldest languages still in use."
"What is the capital of Denmark?","Copenhagen is the capital of Denmark."
"How many feet are in a mile?","There are 5,280 feet in a mile."
"What is the rarest blood type?","RH-null blood type is the rarest blood type."
"What is the capital of Chile?","Santiago is the capital of Chile."
"Who wrote the Odyssey?","Homer wrote the Odyssey."
"What is the highest waterfall in the world?","Angel Falls in Venezuela is the highest waterfall in the world."
"What is the capital of Argentina?","Buenos Aires is the capital of Argentina."
"How many pounds are in a kilogram?","There are approximately 2.2 pounds in a kilogram."
"What is the most visited country in the world?","France is the most visited country in the world."
"What is the capital of Colombia?","Bogotá is the capital of Colombia."
"Who invented the computer?","Charles Babbage is credited with inventing the computer."
"What is the longest river in South America?","The Amazon River is the longest river in South America."
"What is the capital of Venezuela?","Caracas is the capital of Venezuela."
"How many millimeters are in a centimeter?","There are 10 millimeters in a centimeter."
"What is the largest lake in the world?","The Caspian Sea is the largest lake in the world."
"What is the capital of Peru?","Lima is the capital of Peru."
"Who discovered the structure of DNA?","Watson, Crick, and Franklin discovered the structure of DNA."
"What is the second longest river in the world?","The Amazon River is the second longest river in the world."
"What is the capital of Ecuador?","Quito is the capital of Ecuador."
"How many inches are in a foot?","There are 12 inches in a foot."
"What is the coldest place on Earth?","The East Antarctic Plateau is the coldest place on Earth."
"What is the capital of Bolivia?","Sucre is the capital of Bolivia."
"Who wrote 1984?","George Orwell wrote 1984."
"What is the largest coral reef in the world?","The Great Barrier Reef is the largest coral reef in the world."
"What is the capital of Paraguay?","Asunción is the capital of Paraguay."
"How many calories are in a banana?","A banana contains approximately 90 calories."
"What is the most toxic element?","Plutonium is one of the most toxic elements."
"What is the capital of Uruguay?","Montevideo is the capital of Uruguay."
"Who discovered Pluto?","Clyde Tombaugh discovered Pluto in 1930."
"What is the deepest freshwater lake in the world?","Lake Baikal is the deepest freshwater lake in the world."
"What is the capital of Thailand?","Bangkok is the capital of Thailand."
"How many millimeters are in an inch?","There are approximately 25.4 millimeters in an inch."
"What is the most common blood type?","O-positive is the most common blood type."
"What is the capital of Vietnam?","Hanoi is the capital of Vietnam."
"Who invented the telephone exchange?","Almon Brown Strowger invented the telephone exchange."
"What is the wettest place on Earth?","Mount Waialeale in Hawaii is the wettest place on Earth."
"What is the capital of Malaysia?","Kuala Lumpur is the capital of Malaysia."
"How many centimeters are in a meter?","There are 100 centimeters in a meter."
"What is the most densely populated country?","Monaco is the most densely populated country."
"What is the capital of Singapore?","Singapore is both a city and a country."
"Who wrote The Great Gatsby?","F. Scott Fitzgerald wrote The Great Gatsby."
"What is the largest country by population?","India is the largest country by population."
"What is the capital of Indonesia?","Jakarta is the capital of Indonesia."
"How many kilometers are in a mile?","There are approximately 1.61 kilometers in a mile."
"What is the rarest mineral on Earth?","Painite is one of the rarest minerals on Earth."
"What is the capital of Philippines?","Manila is the capital of Philippines."
"Who invented the television?","Philo Farnsworth and Vladimir Zworykin developed the television."
"What is the fastest animal on Earth?","The peregrine falcon is the fastest animal on Earth."
"What is the capital of South Korea?","Seoul is the capital of South Korea."
"How many decigrams are in a gram?","There are 10 decigrams in a gram."
"What is the most widely spoken language by native speakers?","Mandarin Chinese is the most widely spoken language by native speakers."
"What is the capital of North Korea?","Pyongyang is the capital of North Korea."
"Who painted Starry Night?","Vincent van Gogh painted Starry Night."
"What is the largest desert by area?","Antarctica is the largest desert by area."
"What is the capital of China?","Beijing is the capital of China."
"How many watts are in a kilowatt?","There are 1,000 watts in a kilowatt."
"What is the rarest color in nature?","Pure blue is considered the rarest color in nature."
"What is the capital of Japan's historic region?","Kyoto is the capital of Japan's historic region."
"Who composed the Requiem in D minor?","Wolfgang Amadeus Mozart composed the Requiem in D minor."
"What is the symbol for iron?","The symbol for iron is Fe."
"How many players are on a basketball court?","There are five players per team on a basketball court."
"What is the capital of Finland?","Helsinki is the capital of Finland."
"Who wrote Frankenstein?","Mary Shelley wrote Frankenstein."
"What is the most populated city in the world?","Tokyo is the most populated city in the world."
"How many players are on a soccer field?","There are eleven players per team on a soccer field."
"What is the fastest fish in the ocean?","The sailfish is the fastest fish in the ocean."
"Who invented the bicycle?","Karl von Drais invented the bicycle."
"What is the capital of Hungary?","Budapest is the capital of Hungary."
"How many bones does a shark have?","Sharks have no bones as they are made of cartilage."
"What is the most famous pyramid in the world?","The Great Pyramid of Giza is the most famous pyramid in the world."
"Who was Albert Einstein?","Albert Einstein was a theoretical physicist."
"What is the capital of Czech Republic?","Prague is the capital of Czech Republic."
"How many strings does a cello have?","A cello has four strings."
"What is the largest reptile in the world?","The saltwater crocodile is the largest reptile in the world."
"Who wrote Wuthering Heights?","Emily Brontë wrote Wuthering Heights."
"What is the capital of Romania?","Bucharest is the capital of Romania."
"How many chambers does a squid's heart have?","A squid has three hearts."
"What is the deepest cave in the world?","Krubera Cave is the deepest cave in the world."
"Who invented the microscopic lens?","Hans and Zacharias Janssen invented the microscope."
"What is the capital of Croatia?","Zagreb is the capital of Croatia."
"How many years did the Byzantine Empire last?","The Byzantine Empire lasted approximately 1,100 years."
"What is the smallest ocean in the world?","The Arctic Ocean is the smallest ocean in the world."
"Who discovered radium?","Marie and Pierre Curie discovered radium."
"What is the capital of Serbia?","Belgrade is the capital of Serbia."
"How many valves does a human heart have?","A human heart has four valves."
"What is the tallest waterfall by total drop?","Angel Falls is the tallest waterfall by total drop."
"Who was Socrates?","Socrates was an ancient Greek philosopher."
"What is the capital of Bulgaria?","Sofia is the capital of Bulgaria."
"How many syllables does the word beautiful have?","The word beautiful has three syllables."
"What is the rarest gemstone in the world?","Tanzanite is one of the rarest gemstones in the world."
"Who invented the telescope?","Hans Lippershey invented the telescope."
"What is the capital of Lithuania?","Vilnius is the capital of Lithuania."
"How many ribs does a human have?","A human has 24 ribs."
"What is the largest species of shark?","The whale shark is the largest species of shark."
"Who wrote The Hobbit?","J.R.R. Tolkien wrote The Hobbit."
"What is the capital of Latvia?","Riga is the capital of Latvia."
"How many keys does a standard piano have?","A standard piano has 88 keys."
"What is the only mammal that lays eggs?","The platypus is one of the few mammals that lays eggs."
"Who was Plato?","Plato was an ancient Greek philosopher."
"What is the capital of Estonia?","Tallinn is the capital of Estonia."
"What is the most watched sport in the world?","Soccer is the most watched sport in the world."
"How long is an Olympic swimming pool?","An Olympic swimming pool is 50 meters long."
"What is the diameter of a basketball hoop?","A basketball hoop has a diameter of 18 inches."
"Who is the greatest tennis player of all time?","Roger Federer is often considered the greatest tennis player of all time."
"How many players are on an American football team?","There are 11 players per team on an American football field."
"What is the highest score in a single bowling game?","The highest possible score in bowling is 300."
"How many innings are in a baseball game?","A baseball game consists of nine innings."
"What is the main ingredient in traditional pesto?","Basil is the main ingredient in traditional pesto."
"How much water should you drink daily?","Most people should drink about eight glasses of water daily."
"What is the most common type of pasta?","Spaghetti is one of the most common types of pasta."
"Who invented the microwave oven?","Percy Spencer invented the microwave oven."
"What temperature does water boil at?","Water boils at 100 degrees Celsius or 212 degrees Fahrenheit."
"What is the safest cooking oil for high heat?","Avocado oil is one of the safest cooking oils for high heat."
"How many bones are in a fish?","Fish typically have between 800 and 5,000 bones depending on the species."
"What is the primary ingredient in chocolate?","Cocoa is the primary ingredient in chocolate."
"Who invented the refrigerator?","Carl von Linde invented the refrigerator."
"What is the world's most expensive spice by weight?","Saffron is the world's most expensive spice by weight."
"How many megapixels did the first digital camera have?","The first digital camera had 0.01 megapixels."
"Who invented the internet browser?","Tim Berners-Lee invented the World Wide Web and the first browser."
"What is the most used programming language?","Python is one of the most used programming languages."
"How many lines of code does Windows have?","Windows contains approximately 50 million lines of code."
"What is the most downloaded app in the world?","WhatsApp is one of the most downloaded apps in the world."
"Who invented email?","Ray Tomlinson sent the first email in 1971."
"What does HTML stand for?","HTML stands for HyperText Markup Language."
"What is the most visited website in the world?","Google is the most visited website in the world."
"Who created Facebook?","Mark Zuckerberg created Facebook."
"What is the most expensive video game ever made?","Star Wars: The Old Republic cost approximately 200 million dollars."
"How many fingers do most mammals have?","Most mammals have five fingers or toes."
"What is the largest bird ever to exist?","The Argentavis magnificus was one of the largest birds ever to exist."
"What do dinosaurs and birds have in common?","Dinosaurs and birds are both descended from theropods."
"What is the smallest dinosaur ever discovered?","The Microraptor was one of the smallest dinosaurs ever discovered."
"How long ago did dinosaurs go extinct?","Dinosaurs went extinct approximately 66 million years ago."
"What is the only mammal that can fly?","The bat is the only mammal that can fly."
"How many chambers does an octopus heart have?","An octopus has three hearts."
"What is the largest animal ever to exist?","The blue whale is the largest animal ever to exist."
"How many eyes does a honeybee have?","A honeybee has five eyes."
"What is the lifespan of a mayfly?","A mayfly has one of the shortest lifespans at just one day."
"What animal has blue blood?","The horseshoe crab has blue blood."
"How fast can a hummingbird flap its wings?","A hummingbird can flap its wings up to 80 times per second."
"What is the only animal that cannot jump?","The elephant is one of the few large animals that cannot jump."
"How long can a cockroach survive without its head?","A cockroach can survive about one week without its head."
"What is the only animal with no brain?","The jellyfish has no brain."
"How many different types of ants exist?","There are approximately 13,000 different types of ants."
"What is the deadliest snake in the world?","The inland taipan is the deadliest snake in the world."
"How long can a camel go without water?","A camel can go up to two weeks without water."
"What is the fastest insect in the world?","The dragonfly is one of the fastest insects in the world."
"How many teeth does a dolphin have?","A dolphin can have between 100 and 200 teeth."
"What is the only fish that can blink?","The lungfish is one of the few fish that can blink its eyes."
"How far can a flea jump?","A flea can jump up to 200 times its own body length."
"What is the loudest animal on Earth?","The sperm whale is the loudest animal on Earth."
"How old can a tortoise live?","A tortoise can live over 100 years."
"What is the only mammal with a venomous bite?","The platypus is one of the few mammals with a venomous bite."
"How many types of monkeys are there?","There are approximately 264 species of monkeys."
"What is the main ingredient in aspirin?","Salicylic acid is the main ingredient in aspirin."
"Who discovered penicillin?","Alexander Fleming discovered penicillin."
"What is the most common blood disorder?","Anemia is one of the most common blood disorders."
"How many bones does a newborn baby have?","A newborn baby has approximately 270 bones."
"What is the largest organ in the human body?","The liver is the largest organ in the human body."
"How many muscles does the human face have?","The human face has 43 muscles."
"What percentage of the human brain is water?","The human brain is approximately 73% water."
"How long are blood vessels in the human body?","Blood vessels in the human body stretch approximately 60,000 miles."
"What is the fastest thing in the human body?","The neural impulses are the fastest things in the human body."
"How many red blood cells does the human body produce per second?","The human body produces approximately 2 million red blood cells per second."
"What is the smallest cell in the human body?","The sperm cell is the smallest cell in the human body."
"How many taste buds does a human have?","A human has between 2,000 and 10,000 taste buds."
"What percentage of our DNA is shared with bananas?","Humans share approximately 50% of their DNA with bananas."
"How many times does the human heart beat in a lifetime?","The human heart beats approximately 3 billion times in a lifetime."
"What is the capital of Iceland?","Reykjavik is the capital of Iceland."
"Who wrote Dracula?","Bram Stoker wrote Dracula."
"What is the oldest form of writing?","Cuneiform is one of the oldest forms of writing."
"How many languages are spoken in the world?","There are approximately 7,000 languages spoken in the world."
"What is the world's largest desert by water content?","Antarctica is the largest desert by water content."
"Who invented the printing press?","Johannes Gutenberg invented the printing press."
"What is the capital of Yemen?","Sana'a is the capital of Yemen."
"How many symphonies did Mozart compose?","Mozart composed approximately 41 symphonies."
"What is the oldest known musical instrument?","The flute is one of the oldest known musical instruments."
"Who wrote the Declaration of Human Rights?","Eleanor Roosevelt helped draft the Universal Declaration of Human Rights."
"What is the most widely practiced religion in the world?","Christianity is the most widely practiced religion in the world."
"How many books are in the Bible?","The Bible contains 66 books in the Protestant version."
"What is the oldest university in the world?","The University of Al Quaraouiyine in Morocco is the oldest university in the world."
"Who was the first woman to win a Nobel Prize?","Marie Curie was the first woman to win a Nobel Prize."
"What is the largest art museum in the world?","The Louvre is the largest art museum in the world."
"Who wrote Sherlock Holmes?","Arthur Conan Doyle wrote Sherlock Holmes."
"What is the most expensive painting ever sold?","Salvator Mundi attributed to Leonardo da Vinci sold for 450 million dollars."
"How many colors are in the visible light spectrum?","The visible light spectrum contains all colors from red to violet."
"What is the capital of Monaco?","Monaco is both a city and a country."
"Who was the first Black president of the United States?","Barack Obama was the first Black president of the United States."
"What year did the Berlin Wall fall?","The Berlin Wall fell in 1989."
"How many countries are in the United Nations?","There are 193 countries in the United Nations."
"What is the least populated country in the world?","Vatican City is the least populated country in the world."
"Who was the first person to reach the South Pole?","Roald Amundsen was the first person to reach the South Pole."
"What is the capital of Greenland?","Nuuk is the capital of Greenland."
"How many strings does a harp have?","A harp typically has between 22 and 47 strings."
"What is the largest organ in a tree?","The root system is the largest organ in a tree."
"How many seeds are in an average sunflower?","An average sunflower contains between 1,000 and 2,000 seeds."
"What is the most abundant tree on Earth?","The larch tree is one of the most abundant trees on Earth."
"How fast does grass grow?","Grass grows approximately one inch per week during the growing season."
"What is the oldest tree in the world?","Great Basin bristlecone pines are among the oldest trees in the world."
"How many types of roses are there?","There are over 300 species of roses."
"What is the most poisonous plant in the world?","The castor bean plant produces ricin, one of the most poisonous substances."
"How long can a seed remain dormant?","Some seeds can remain dormant for thousands of years."
"What is the deepest underwater trench?","The Challenger Deep in the Mariana Trench is the deepest underwater trench."
"How many species of sharks are there?","There are approximately 500 species of sharks."
"What is the largest coral in the world?","The Great Barrier Reef is the largest coral reef system in the world."
"How deep can whales dive?","Some whales can dive deeper than 10,000 feet."
"What is the fastest submarine in the world?","The Alfa-class submarine was one of the fastest submarines in the world."
"How many islands does Indonesia have?","Indonesia has approximately 17,000 islands."
"What is the capital of Fiji?","Suva is the capital of Fiji."
"How many muscles does a caterpillar have?","A caterpillar has more than 4,000 muscles."
"What is the most venomous spider in the world?","The Brazilian wandering spider is considered the most venomous spider."
"How many ommatidia does a dragonfly eye have?","A dragonfly eye has approximately 28,000 ommatidia."
"What is the rarest color of a diamond?","Red diamonds are the rarest color of diamonds."
"How many carats is the largest diamond ever found?","The Koh-i-Noor diamond weighs approximately 105.6 carats."
"What causes thunder?","Thunder is caused by the rapid expansion of air heated by lightning."
"Why is the sky blue?","The sky appears blue because of Rayleigh scattering of sunlight."
"What makes a rainbow appear?","Rainbows appear when sunlight refracts through water droplets."
"How do volcanoes form?","Volcanoes form when molten rock rises through cracks in the Earth's crust."
"What causes tides?","Tides are primarily caused by the gravitational pull of the moon."
"Why do leaves change color in autumn?","Leaves change color because chlorophyll breaks down revealing other pigments."
"What is the aurora borealis?","The aurora borealis is a natural light display caused by solar particles."
"How are fossils formed?","Fossils form when organisms are buried and mineralized over millions of years."
"What causes earthquakes?","Earthquakes are caused by the sudden release of energy in tectonic plates."
"Why does ice float?","Ice floats because water expands and becomes less dense when frozen."
"What is photosynthesis?","Photosynthesis is the process plants use to convert sunlight into energy."
"How do black holes form?","Black holes form when massive stars collapse under their own gravity."
"What is the difference between weather and climate?","Weather is short-term conditions while climate is long-term patterns."
"Why do stars twinkle?","Stars appear to twinkle because their light passes through Earth's atmosphere."
"What is the greenhouse effect?","The greenhouse effect is the trapping of heat by gases in Earth's atmosphere."
"How do clouds form?","Clouds form when water vapor condenses around tiny particles in the air."
"What is the pH scale?","The pH scale measures how acidic or basic a substance is."
"Why do we have seasons?","Seasons occur because Earth's axis is tilted as it orbits the sun."
"What is an atom?","An atom is the smallest unit of matter that retains chemical properties."
"How does electricity work?","Electricity is the flow of electrons through a conductor."
"What is gravity?","Gravity is the force that attracts objects with mass toward each other."
"Why does metal conduct heat?","Metal conducts heat because its electrons move freely between atoms."
"What is sound?","Sound is a vibration that travels through air or other mediums."
"How do magnets work?","Magnets work through aligned electrons creating magnetic fields."
"What is entropy?","Entropy is a measure of disorder or randomness in a system."
"Why is helium lighter than air?","Helium is lighter because its atoms have less mass than nitrogen and oxygen."
"What is nuclear fusion?","Nuclear fusion is the process of combining atomic nuclei to release energy."
"How do batteries work?","Batteries convert chemical energy into electrical energy through reactions."
"What is the Doppler effect?","The Doppler effect is the change in frequency of waves from moving sources."
"Why does soap clean things?","Soap cleans by breaking down oils and allowing water to wash them away."
"What is osmosis?","Osmosis is the movement of water through a semipermeable membrane."
"How do mirrors reflect light?","Mirrors reflect light because of their smooth metallic coating."
"What is friction?","Friction is the resistance force between two surfaces in contact."
"Why do bubbles pop?","Bubbles pop when the water film becomes too thin to hold together."
"What is inertia?","Inertia is an object's resistance to changes in its motion."
"How do submarines dive?","Submarines dive by filling ballast tanks with water to increase density."
"What is terminal velocity?","Terminal velocity is the maximum speed an object reaches while falling."
"Why do ships float?","Ships float because they displace more water than their weight."
"What is a supernova?","A supernova is the explosive death of a massive star."
"How old is the universe?","The universe is approximately 13.8 billion years old."
"What is dark matter?","Dark matter is invisible matter that exerts gravitational effects."
"How far is the nearest star?","Proxima Centauri is the nearest star at 4.24 light-years away."
"What is a neutron star?","A neutron star is a collapsed star made almost entirely of neutrons."
"How many galaxies are there?","There are approximately 200 billion galaxies in the observable universe."
"What is a quasar?","A quasar is an extremely luminous active galactic nucleus."
"How fast does the Earth spin?","The Earth spins at approximately 1,000 miles per hour at the equator."
"What is the asteroid belt?","The asteroid belt is a region of rocky debris between Mars and Jupiter."
"How long is a day on Mars?","A day on Mars is approximately 24 hours and 37 minutes."
"What is a comet made of?","Comets are made of ice, dust, and rocky material."
"How far is the moon from Earth?","The moon is approximately 238,855 miles from Earth."
"What is the surface temperature of the sun?","The sun's surface temperature is approximately 5,500 degrees Celsius."
"How many moons does Jupiter have?","Jupiter has at least 95 known moons."
"What is Saturn's ring made of?","Saturn's rings are made of ice and rock particles."
"How long does it take light to reach Earth from the sun?","Light takes about 8 minutes and 20 seconds to reach Earth from the sun."
"What is a solar eclipse?","A solar eclipse occurs when the moon blocks sunlight from reaching Earth."
"How big is the Milky Way?","The Milky Way is approximately 100,000 light-years in diameter."
"What planet has the longest day?","Venus has the longest day of any planet in our solar system."
"How many Earth-like planets have been discovered?","Thousands of potentially Earth-like exoplanets have been discovered."
"What is escape velocity?","Escape velocity is the minimum speed needed to leave a planet's gravity."
"How cold is space?","Space has an average temperature of about -270 degrees Celsius."
"What is a pulsar?","A pulsar is a rotating neutron star that emits beams of radiation."
"How does GPS work?","GPS works by triangulating signals from multiple satellites."
"What percentage of the ocean is unexplored?","More than 80% of the ocean remains unexplored."
"What is the Great Red Spot?","The Great Red Spot is a giant storm on Jupiter."
"How did the moon form?","The moon likely formed from debris after a collision with early Earth."
"What is the Kuiper Belt?","The Kuiper Belt is a region of icy bodies beyond Neptune."
"How hot is the Earth's core?","The Earth's core is approximately 5,400 degrees Celsius."
"What causes a lunar eclipse?","A lunar eclipse occurs when Earth's shadow falls on the moon."
"How thick is the Earth's crust?","The Earth's crust is between 5 and 70 kilometers thick."
"What is the tallest mountain on Mars?","Olympus Mons is the tallest mountain on Mars and in the solar system."
"How many teeth does a cat have?","An adult cat has 30 teeth."
"What is the lifespan of a housefly?","A housefly lives for approximately 28 days."
"How many hearts does an earthworm have?","An earthworm has five heart-like structures."
"What is the fastest growing plant?","Bamboo is the fastest growing plant in the world."
"How long can an elephant hold its breath?","An elephant can hold its breath for up to two hours underwater."
"What animal sleeps the most?","The koala sleeps up to 22 hours per day."
"How many species of beetles exist?","There are approximately 400,000 species of beetles."
"What is the only bird that can fly backwards?","The hummingbird is the only bird that can fly backwards."
"How long is a giraffe's tongue?","A giraffe's tongue is approximately 18 to 20 inches long."
"What animal has the largest eyes?","The colossal squid has the largest eyes in the animal kingdom."
"How much does an elephant's brain weigh?","An elephant's brain weighs approximately 13 pounds."
"What is the smallest bird in the world?","The bee hummingbird is the smallest bird in the world."
"How fast can an ostrich run?","An ostrich can run up to 45 miles per hour."
"What animal has the strongest bite?","The saltwater crocodile has the strongest bite force."
"How long can a snail sleep?","A snail can sleep for up to three years."
"What is the only animal that cannot vomit?","Rats are one of the few animals that cannot vomit."
"How many stomachs does a cow have?","A cow has four stomach compartments."
"What animal produces the loudest sound?","The blue whale produces the loudest sound of any animal."
"How long is the gestation period of an elephant?","An elephant's gestation period is approximately 22 months."
"What is the fastest snake in the world?","The black mamba is the fastest snake in the world."
"How many species of penguins exist?","There are 18 species of penguins."
"What bird has the largest wingspan?","The wandering albatross has the largest wingspan of any bird."
"How much can a gorilla lift?","A gorilla can lift approximately 1,800 pounds."
"What is the most intelligent insect?","Bees are considered among the most intelligent insects."
"How long can a whale hold its breath?","Some whales can hold their breath for over two hours."
"What animal has the best memory?","Elephants are known for having exceptional long-term memory."
"How fast can a falcon dive?","A peregrine falcon can dive at speeds over 240 miles per hour."
"What is the largest fish in the ocean?","The whale shark is the largest fish in the ocean."
"How many legs does a lobster have?","A lobster has ten legs."
"What animal can survive being frozen?","The wood frog can survive being frozen solid."
"How long do mayflies live as adults?","Adult mayflies live for only about 24 hours."
"What is the most venomous fish?","The stonefish is the most venomous fish in the world."
"How many species of birds exist?","There are approximately 10,000 species of birds."
"What animal can regenerate its limbs?","The axolotl can regenerate its limbs completely."
"How fast does hair grow?","Hair grows approximately six inches per year."
"What is the longest bone in the human body?","The femur is the longest bone in the human body."
"How many neurons are in the human brain?","The human brain contains approximately 86 billion neurons."
"What is the strongest muscle in the human body?","The masseter or jaw muscle is the strongest muscle by weight."
"How much blood is in the human body?","The human body contains approximately 5 liters of blood."
"What organ uses the most energy?","The brain uses approximately 20% of the body's energy."
