"conlang","english","explanation_in_conlang"
"נֶוָאפּוּוֵין בְּאוֹר, נֶאוֹשֵׁין בְּיַחַד,","We see in the light, we build together,","נֶוָאפּוּוֵין = 'אֲנַחְנוּ רוֹאִים'. בְּאוֹר = 'בָּאוֹר'—ב־ עִבְרִית + אוֹר. נֶאוֹשֵׁין = 'אֲנַחְנוּ בּוֹנִים'—פֹּעַל אַלְגוֹנְקְוִינִי. בְּיַחַד עִבְרִית = 'יַחַד'. לְתַרְגֵּם: 'we see in the light, we build together.'"
"נַחְקוֹהוּמֵין פַּטִּישׁ, נְשִׁימָה פֵּייָאק.","hammer's ring, breath as one.","קֶטַע שִׁירִי. נַחְקוֹהוּמֵין פֹּה כְּשֵׁם = 'צִלְצוּל'. פַּטִּישׁ עִבְרִית. נְשִׁימָה עִבְרִית = 'נְשִׁימָה'. פֵּייָאק אַלְגוֹנְקְוִינִי = 'אֶחָד'. לְתַרְגֵּם: 'hammer's ring, breath as one.'"
"אֲבִינוֹדְיִינְשׁ וְפֵּיטַאוֵי אֲפוּאָן,","The small child brings bread,","אֲבִינוֹדְיִינְשׁ: אֲבִינוֹדְיִין = 'יֶלֶד' + אַחְרָא -שׁ לְהַקְטָנָה = 'יֶלֶד קָטָן'. וְפֵּיטַאוֵי: וְ־ קַדְמָא גּוּף שְׁלִישִׁי + פֵּיטַאוֵי = 'מֵבִיא'. אֲפוּאָן = 'לֶחֶם'. לְתַרְגֵּם: 'the small child brings bread.'"
"נֶמִּיצוּ בְּתְּמָקָאנִינְק יַחַד.","we eat together on the way.","נֶמִּיצוּ = 'אֲנַחְנוּ אוֹכְלִים'. בְּתְּמָקָאנִינְק = 'בַּדֶּרֶךְ'—לוֹקָטִיב. יַחַד עִבְרִית = 'בְּיַחַד'. לְתַרְגֵּם: 'we eat together on the way.'"
"בְּוִיגְוָאמִינְק נֶסְקָאטֵאוֵין אוֹר,","In the home we kindle light,","בְּוִיגְוָאמִינְק בְּרֹאשׁ הַמִּשְׁפָּט—נוֹשֵׂא מֻקְדָּם. נֶסְקָאטֵאוֵין = 'אֲנַחְנוּ מַדְלִיקִים אֵשׁ'—פֹּעַל אַלְגוֹנְקְוִינִי חָשׁוּב לְאֵשׁ. אוֹר עִבְרִית—מְחַבֵּר אֶת הַמַּעֲשֶׂה הַגַּשְׁמִי לַמֻּפְשָׁט. לְתַרְגֵּם: 'in the home we kindle light.'"
"וּמַחְקוֹשׁוּאֵשׁ וְאַאנְוֵי נְנַעֲלִינְק.","and a little bear rests by our shoes.","וּ מְחַבֵּר. מַחְקוֹשׁוּאֵשׁ: מַחְקוֹשׁוּ = 'דֹּב' + -אֵשׁ לְהַקְטָנָה = 'דֹּב קָטָן'. וְאַאנְוֵי = 'הוּא נָח'—גּוּף שְׁלִישִׁי. נְנַעֲלִינְק: נְ־ = 'שֶׁלָּנוּ' + נַעַל + -ינְק = 'לְיַד הַנַּעֲלַיִם שֶׁלָּנוּ'. לְתַרְגֵּם: 'and a little bear rests by our shoes.'"
"גַּגִּים נֶמָאוֵינַאק אוֹר, גַּנִּים וְנִיתָּאוֵינַאק מֵאַרְגַּזִּין,","Roofs gather light, gardens rise from boxes,","גַּגִּים וְגַנִּים רִבּוּי עִבְרִי. נֶמָאוֵינַאק וְנִיתָּאוֵינַאק פֹּעֲלִים אַלְגוֹנְקְוִינִים בְּגוּף שְׁלִישִׁי רִבּוּי חַי -אַק. מֵ עִבְרִית = 'מִן'. לְתַרְגֵּם: 'roofs gather light, gardens rise from boxes.'"
"עֲצוֹת מְסַדְּרוֹת מִדָּה לְאִישְׁקוֹטֵאוִינְק.","assemblies arrange balance for the hearth.","עֲצוֹת וּמִדָּה עִבְרִית—מֻפְשָׁטִים/אֶתִיִּים. מְסַדְּרוֹת פֹּעַל עִבְרִי—בָּדֶרֶךְ כְּלַל הָעֲצוֹת דּוֹרְשׁוֹת לָשׁוֹן גָּבוֹהַּ. אִישְׁקוֹטֵאוִינְק: אִישְׁקוֹטֵאוּ = 'אֵשׁ/כִּירָה' + לוֹקָטִיב = 'לַמָּדוּר'. לְתַרְגֵּם: 'assemblies arrange balance for the hearth.'"
"מִוִּיגְוָאמִינְק לְוִיגְוָאמִינְק וְטֵפְוֵי חֶסֶד,","From house to house kindness calls,","מִ + לְ עִבְרִית מַרְאִים כִּוּוּן. וִיגְוָאמִינְק חוֹזֵר פַּעֲמַיִם—'מִבַּיִת לְבַיִת'. וְטֵפְוֵי = 'הוּא קוֹרֵא'—פֹּעַל אַלְגוֹנְקְוִינִי לְקוֹל. חֶסֶד עִבְרִית—מִלָּה אֶתִית מְרַכֶּזֶת. לְתַרְגֵּם: 'from house to house kindness calls.'"
"וְלֵנוּוָאק וְפֵּימוֹסֵאוַאק—יָדַיִם בְּעֲבוֹדָה, קוֹלוֹת מַאמָאוֵי.","and the people go on—hands at work, voices joined.","לֵנוּוָאק = 'אֲנָשִׁים'—רִבּוּי אַלְגוֹנְקְוִינִי -אַק. וְפֵּימוֹסֵאוַאק = 'הֵם הוֹלְכִים'—גּוּף שְׁלִישִׁי רִבּוּי. יָדַיִם, עֲבוֹדָה, קוֹלוֹת עִבְרִית. מַאמָאוֵי אַלְגוֹנְקְוִינִי = 'יַחַד/מְאֻחָדִים'. לְתַרְגֵּם: 'and the people go on—hands at work, voices joined.'"
"וַיְהִי בְּוִיגְוָאמִינְק שְׁלֹשָׁה לֵנוּוָאק: מָאלָא, ג׳וּלֶס, טִינָא;","And it came to pass in the room-place: three people were there—Mara, Jules, Tina;","וַיְהִי פְּתִיחַת סִפּוּר עִבְרִית קְלָסִית—'וַיְהִי' דּוֹחֵף אֶת הַסִּפּוּר קָדִימָה. בְּוִיגְוָאמִינְק לוֹקָטִיב אַלְגוֹנְקְוִינִי. שְׁלֹשָׁה עִבְרִית = 'שָׁלֹשׁ'. לֵנוּוָאק אַלְגוֹנְקְוִינִי = 'אֲנָשִׁים'. הַשֵּׁמוֹת מַעֲגָנִים לְמַעֲקָב יוֹ/יוֹוָא. לְתַרְגֵּם: 'and it came to pass in the room-place: three people were there—Mara, Jules, Tina.'"
"וַיֵּעָרֶךְ שֻׁלְחָנִינְק, וַיֵּשְׁבוּ, וַיִּשְׂאוּ מִנִיקְוָאגַנַאק.","and a table was set, and sitting happened, and cups were lifted.","שַׁרְשֶׁרֶת וַיִּקְטֹל: וַיֵּעָרֶךְ, וַיֵּשְׁבוּ, וַיִּשְׂאוּ—כָּל אֶחָד דּוֹחֵף אֶת הַזְּמַן קָדִימָה. שֻׁלְחָנִינְק = שֻׁלְחָן + לוֹקָטִיב. מִנִיקְוָאגַנַאק = 'כּוֹסוֹת'—אַלְגוֹנְקְוִינִי עִם רִבּוּי חַי. לְתַרְגֵּם: 'and a table was set, and sitting happened, and cups were lifted.'"
"וַיִּכְבּוּ הָאוֹרוֹת פִּתְאֹם, וַיֶּחְשַׁךְ הַוִיגְוָאמִינְק, וַיַּעַמְדוּ דּוּם.","And the lights went out suddenly, and the room-place became dark, and standing-still happened.","שַׁרְשֶׁרֶת וַיִּקְטֹל נִמְשֶׁכֶת. הָאוֹרוֹת עִבְרִית עִם ה־ הַיְּדִיעָה. פִּתְאֹם = 'פֶּתַע'. הַוִיגְוָאמִינְק: ה־ עִבְרִית + לוֹקָטִיב אַלְגוֹנְקְוִינִי—הִתְמַזְּגוּת. לְתַרְגֵּם: 'and the lights went out suddenly, and the room-place became dark, and standing-still happened.'"
"וַיֵּרָם טֵלֶפּוּן לְאוֹר, וַיַּךְ אוֹר־טֵלֶפּוּן אֶת יוֹוָא; וַיִּמְצְמֵץ, וַיִּדָּחֵף, וַיִּפָּגַע בֶּרֶךְ בַּשֻּׁלְחָן, וַיִּקְפְּצוּ מִנִיקְוָאגַנַאק.","And a phone was raised for light, and phone-light struck that-one; and blinking happened, and lurching happened, and a knee met the table, and cups jumped.","וַיִּקְטֹל מָהִיר לְהוּמוֹר. אוֹר־טֵלֶפּוּן צֵרוּף עִבְרִי. יוֹוָא = 'הַהוּא'—סִמּוּן אוֹבְּיָאטִיב לְגוּף שְׁלִישִׁי מִשְׁנִי. הוּא לֹא הַפּוֹעֵל הָרָאשִׁי. מִנִיקְוָאגַנַאק אַלְגוֹנְקְוִינִי = 'כּוֹסוֹת'. לְתַרְגֵּם: 'and a phone was raised for light, and phone-light struck that-one; and blinking happened, and lurching happened, and a knee met the table, and cups jumped.'"
"וַיְּנָאטוֹנֵי יוֹ וָאסָאקוֹנֵינְדִיגַן, וַיַּךְ גַּפְרוּר, וַתִּזְעַק אַזְעָקַת־עָשָׁן, וַיָּסֹב קוֹלָהּ אֶת כֻּלָּם.","And this-one sought a candle, and a match was struck, and the smoke alarm cried out, and its cry turned them all.","וַיְּנָאטוֹנֵי מְשַׁלֵּב שֹׁרֶשׁ אַלְגוֹנְקְוִינִי בְּמִשְׁקַל וַיִּקְטֹל. יוֹ = 'הַזֶּה'—פְּרוֹקְסִימֵט, מֶרְכַּז הַסִּפּוּר. וָאסָאקוֹנֵינְדִיגַן אַלְגוֹנְקְוִינִי = 'נֵר'. אַזְעָקַת־עָשָׁן צֵרוּף עִבְרִי = 'גַּלַּאי עָשָׁן'. לְתַרְגֵּם: 'and this-one sought a candle, and a match was struck, and the smoke alarm cried out, and its cry turned them all.'"
"וַיָּקָם יוֹ לְעֶזְרָה, וַיֵּלֶךְ אֶל הַמַּפְסֵק, וַיִּפְתַּח דֶּלֶטִינְק שְׁגוּיָה, וַיִּפְּלוּ מְעִילִים עָלָיו, וַיִּלָּחֶם בַּשְּׂרָוָלִים בַּחֹשֶׁךְ.","And this-one rose to help, and went toward the breaker, and opened the wrong door-place, and coats fell upon this-one, and wrestling happened with sleeves in the dark.","יוֹ מְמַשֵּׁךְ כְּנוֹשֵׂא. דֶּלֶטִינְק: דֶּלֶת עִבְרִית + לוֹקָטִיב אַלְגוֹנְקְוִינִי = 'מָקוֹם הַדֶּלֶת'. זֶה מַרְאֶה אֵיךְ מִלִּים עִבְרִיּוֹת נִכְנָסוֹת לְמוֹרְפוֹלוֹגְיָה אַלְגוֹנְקְוִינִית. לְתַרְגֵּם: 'and this-one rose to help, and went toward the breaker, and opened the wrong door-place, and coats fell upon this-one, and wrestling happened with sleeves in the dark.'"
"וַיָּבוֹא פָּנַאס, וַיֻּדְלַק, וַיִּבְרַק כְּאַזְהָרָה; וַיִּקְפְּצוּ צְלָלִים, וַיִּרְדְּפוּ פָּנִים נָעִים.","And a lantern came, and it was lit, and it flashed like a warning; and shadows leapt, and moving faces chased.","וַיִּקְטֹל נִמְשָׁךְ. פָּנַאס מִלָּה מֻשְׁאֶלֶת לְפָנָס. כְּאַזְהָרָה = 'כְּמוֹ אַזְהָרָה'—כְּ עִבְרִית לְהַשְׁוָאָה. צְלָלִים וּפָנִים עִבְרִית—יוֹתֵר מֻפְשָׁטִים/פְּסִיכוֹלוֹגִיִּים. לְתַרְגֵּם: 'and a lantern came, and it was lit, and it flashed like a warning; and shadows leapt, and moving faces chased.'"
"וַיָּרָץ יוֹ תַּחַת הָאַזְעָקָה, וַיָּנֵף בְּמַגֶּבֶת, וַיַּךְ בְּמַתְלֵה כַּפּוֹת, וַיִּנַחְקוֹהֻמִיּוּ הַכַּפּוֹת, וַיִּפֹּל מִכְסֶה, וַיִּרְעַם, וַיִּגַּעַשׁ הַסִּיר וַיִּגְּלֹשׁ.","And this-one ran beneath the alarm, and fanned with a towel, and struck the spoon hanger, and the spoons rang/sang, and a lid fell, and clanging happened, and the pot boiled and spilled.","וַיִּנַחְקוֹהֻמִיּוּ מְשַׁלֵּב נַחְקוֹהוּמֵין אַלְגוֹנְקְוִינִי בְּמִשְׁקַל וַיִּקְטֹל—'וַיְשַׁרְשְׁרוּ/וַיְצַלְצְלוּ'. אוֹתוֹ פֹּעַל מִ'אֲנַחְנוּ שָׁרִים' מֻשָׂם לְצִלְצוּל מַתֶּכֶת. לְתַרְגֵּם: 'and this-one ran beneath the alarm, and fanned with a towel, and struck the spoon hanger, and the spoons rang/sang, and a lid fell, and clanging happened, and the pot boiled and spilled.'"
"וַיָּרָץ מְבּוּי עַל הָרִצְפָּה, וַיַּעַשׂ תְּמָקָאן מַבְרִיק; וַיִּדְרֹךְ יוֹוָא בּוֹ, וַיִּגְלַשׁ, וַיֵּשֶׁב קָשֶׁה, וַיִּצְחַק, וַיָּקוּם, וַיִּגְלַשׁ עוֹד.","And water ran across the floor, and it made a shining path; and that-one stepped into it, and sliding happened, and hard-sitting happened, and laughter happened, and rising happened, and sliding happened again.","מְבּוּי אַלְגוֹנְקְוִינִי = 'מַיִם'. תְּמָקָאן אַלְגוֹנְקְוִינִי = 'דֶּרֶךְ/שְׁבִיל'. יוֹוָא = 'הַהוּא'—אוֹבְּיָאטִיב, לֹא הַפּוֹעֵל הָרָאשִׁי. שַׁרְשֶׁרֶת וַיִּקְטֹל מְהִירָה לְהוּמוֹר. לְתַרְגֵּם: 'and water ran across the floor, and it made a shining path; and that-one stepped into it, and sliding happened, and hard-sitting happened, and laughter happened, and rising happened, and sliding happened again.'"
"וַיִּמָּלֵט יוֹ מִן הַמְּעִילִים, וַיָּרָץ חָזָר, וַיִּמְצָא רַגְלוֹ אֶת הָרָטוֹב, וַיַּחְלִיק, וַיָּעֻפוּ כֵּלָיו, וַיִּתְפַּזְּרוּ כַּאֲסוּנַאק.","And this-one escaped the coats, and hurried back, and a foot found the wet, and slipping happened, and tools flew, and they scattered like stones.","יוֹ חוֹזֵר כְּנוֹשֵׂא. כַּאֲסוּנַאק: כְּ עִבְרִית + אֲסוּן אַלְגוֹנְקְוִינִי + -אַק רִבּוּי חַי = 'כְּמוֹ אֲבָנִים'. אֲבָנִים בְּרִבּוּי חַי כִּי חֲשׁוּבוֹת תַּרְבּוּתִית. לְתַרְגֵּם: 'and this-one escaped the coats, and hurried back, and a foot found the wet, and slipping happened, and tools flew, and they scattered like stones.'"
"וַיִּכְרַע יוֹ לְקַבֵּץ, וַיִּתְגַּלְגֵּל הַפָּנַאס, וַיַּבְרֵק תַּחַת הַסַּפָּה, וַיָּאֶר מִלְּמַטָּה קַרְסֻלַּיִם, וַיִּרְקְדוּ בְּלִי רָצוֹן.","And this-one knelt to gather, and the lantern rolled, and it flashed under the couch, and it lit ankles from below, and dancing happened without intention.","וַיִּקְטֹל נִמְשֶׁכֶת. בְּלִי רָצוֹן עִבְרִית = 'בְּלִי כַּוָּנָה'—מֻפְשָׁט. הַהוּמוֹר עוֹלֶה מִן הַמָּרוּץ הַנָּרָטִיבִי—כָּל וַיִּ־ דּוֹחֵף אֶת הָכָאוֹס קָדִימָה. לְתַרְגֵּם: 'and this-one knelt to gather, and the lantern rolled, and it flashed under the couch, and it lit ankles from below, and dancing happened without intention.'"
"וַיָּשָׁב הַכֹּחַ פִּתְאֹם, וַיֵּאֹרוּ הָאוֹרוֹת, וַיִּגָּלוּ בַּוִיגְוָאמִינְק:","And the power returned suddenly, and the lights came on, and they were revealed in the room-place:","שִׂיא הַסִּפּוּר. וַיִּגָּלוּ = 'וְהֵם נִגְלוּ'—סָבִיל. בַּוִיגְוָאמִינְק חוֹזֵר לַמָּקוֹם הַפּוֹתֵחַ—מִסְגֶּרֶת. לְתַרְגֵּם: 'and the power returned suddenly, and the lights came on, and they were revealed in the room-place.'"
"יוֹוָא עַל הָרִצְפָּה, וְיוֹ אָחוּז בְּמְעִיל, וְעוֹד יוֹוָא כֹּרֵעַ בֵּין כֵּלִים, וְהַסִּיר שׁוֹרֵק מֵעַל הַשָּׂפָה.","that-one on the floor, and this-one clutching a coat, and another that-one kneeling among tools, and the pot hissing over the edge.","טַבְלוֹ עִם מַעֲרֶכֶת פְּרוֹקְסִימֵט/אוֹבְּיָאטִיב: יוֹוָא, יוֹ, וְעוֹד יוֹוָא. שְׁלֹשָׁה אֲנָשִׁים מֻבְדָּלִים בְּלִי שֵׁמוֹת—רַק בְּמַעֲקָב דִּקְדּוּקִי. מִשְׁפָּטִים שְׁמָנִיִּים (בְּלִי וַיִּקְטֹל) מַקְפִּיאִים אֶת הָרֶגַע. לְתַרְגֵּם: 'that-one on the floor, and this-one clutching a coat, and another that-one kneeling among tools, and the pot hissing over the edge.'"
"וַיִּרְאוּ יוֹ בְּיוֹוָא, וַיִּצְחְקוּ.","And looking happened—this-one at that-one—and laughter happened.","הַסִּפּוּר נִפְתָּר: יוֹ בְּיוֹוָא = 'הַזֶּה בַּהַהוּא'—הַפְּרוֹקְסִימֵט וְהָאוֹבְּיָאטִיב נִפְגָּשִׁים. הַצְּחוֹק הַמְּשֻׁתָּף וַיִּצְחְקוּ מַמְסִיס אֶת הַהַבְדָּלָה—הֵם מְאֻחָדִים. לְתַרְגֵּם: 'and looking happened—this-one at that-one—and laughter happened.'"
"וְהָיָה כָּל־פַּעַם אֲשֶׁר יִרְעֲדוּ הָאוֹרוֹת מִכָּאן וָהָלְאָה—וְאָחֲזוּ מִנִיקְוָאגַנֵיהֶם, וְעָמְדוּ רָחוֹק מִן הָאִישְׁקוֹטֵאוּ, וְהִבִּיטוּ יוֹ בְּיוֹוָא, וְצָחֲקוּ.","And it shall be that whenever the lights tremble thereafter—they shall seize their cups, and they shall stand far from the stove, and they shall look one upon another, and they shall laugh.","מַעֲבָר לְוְקָטַל: וְהָיָה...וְאָחֲזוּ...וְעָמְדוּ הוֹפֵךְ אֶת הָאֵרוּעַ לְדֶּפֶס קָבוּעַ. מִנִיקְוָאגַנֵיהֶם: גֶּזַע אַלְגוֹנְקְוִינִי + סִיּוֹמֶת קִנְיָן עִבְרִית = 'כּוֹסוֹתֵיהֶם'. אִישְׁקוֹטֵאוּ אַלְגוֹנְקְוִינִי = 'אֵשׁ/כִּירָה'. יוֹ בְּיוֹוָא מְהַדְהֵד אֶת הַשִּׂיא, עַכְשָׁו מְטֻקָּס לְזִכְרוֹן מְשֻׁתָּף. לְתַרְגֵּם: 'and it shall be that whenever the lights tremble thereafter—they shall seize their cups, and they shall stand far from the stove, and they shall look one upon another, and they shall laugh.'"
