"english","conlang","explanation"
"We remember the paths beside the waters,","נֶמִּקְוֵינְדַאמֵין תְּמָקָאנַאק סְוַאנִינְק,","The verb נֶמִּקְוֵינְדַאמֵין (nə-mikweyndaamein, 'we remember') is Algonquian with person prefix. The object תְּמָקָאנַאק (təmakaanak) uses the Algonquian inanimate plural suffix -אק. The locative סְוַאנִינְק (swaan-ink, 'at/beside the waters') is fully Algonquian, demonstrating how spatial relations are encoded morphologically rather than with prepositions."
"and we lend one another our help.","וְנֶמִּינֵין עֶזְרָה פַּחְקְוֵינָה.","Hebrew conjunction וְ frames the clause. The verb נֶמִּינֵין (nə-miineyin, 'we give') is Algonquian with person prefix. The noun עֶזְרָה ('help') is Hebrew—an abstract ethical concept. The adverb פַּחְקְוֵינָה (paxkweinah) indicates reciprocity ('to one another'), showing Algonquian's rich means of expressing social relationships."
"We walk well, we walk well—","נֶמְנוֹקוְויֵין, נֶמְנוֹקוְויֵין,","Simple repetition of the key Algonquian verb נֶמְנוֹקוְויֵין (nə-mnokweyin, 'we walk well'). The repetition follows Hebrew poetic parallelism conventions while using the Algonquian predicate as the carrier of meaning."
"we hear and we sing.","נֶפּוּנְדַאוּוֵין וְנֶנַחְקוֹהוּמֵין.","Two Algonquian verbs in parallel: נֶפּוּנְדַאוּוֵין (nə-pundaaweyin, 'we hear') and נֶנַחְקוֹהוּמֵין (nə-naxkoohumein, 'we sing'). Hebrew וְ provides the conjunction. Both verbs carry the 1st person plural prefix, making explicit subject pronouns unnecessary."
"We see in the light, we build together,","נֶוָאפּוּוֵין בְּאוֹר, נֶאוֹשֵׁין בְּיַחַד,","The verb נֶוָאפּוּוֵין (nə-waapuweyin, 'we see') is Algonquian with prefix. The phrase בְּאוֹר ('in the light') uses Hebrew preposition and noun. The verb נֶאוֹשֵׁין (nə-osheyin, 'we build/make') is Algonquian. The adverb בְּיַחַד ('together') is Hebrew—showing how Hebrew provides communal/abstract modifiers while Algonquian provides the action."
"hammer's ring, breath as one.","נַחְקוֹהוּמֵין פַּטִּישׁ, נְשִׁימָה פֵּייָאק.","A nominal/poetic fragment: נַחְקוֹהוּמֵין ('ring/song'—here used nominally) with פַּטִּישׁ ('hammer,' Hebrew domestic vocabulary). Then נְשִׁימָה ('breath,' Hebrew) with פֵּייָאק (peyaak, 'one,' Algonquian number). This mixing of Hebrew and Algonquian in a compressed poetic line is characteristic of the high register."
"The small child brings bread,","אֲבִינוֹדְיִינְשׁ וְפֵּיטַאוֵי אֲפוּאָן,","The noun אֲבִינוֹדְיִינְשׁ (abinodjiyin-š) uses the Algonquian word for 'child' with the diminutive suffix -שׁ (-š), meaning 'little child.' The verb וְפֵּיטַאוֵי (wə-peitaawei, 's/he brings') uses the 3rd person prefix וְ-. The object אֲפוּאָן ('bread') is Algonquian. The entire line is heavily Algonquian, appropriate for a domestic/community scene."
"we eat together on the way.","נֶמִּיצוּ בְּתְּמָקָאנִינְק יַחַד.","The verb נֶמִּיצוּ (nə-miitsuw, 'we eat') is Algonquian with person prefix. The locative בְּתְּמָקָאנִינְק uses Hebrew clitic ב־ plus Algonquian noun plus locative suffix. The adverb יַחַד ('together') is Hebrew—providing the communal modifier."
"In the home we kindle light,","בְּוִיגְוָאמִינְק נֶסְקָאטֵאוֵין אוֹר,","The locative בְּוִיגְוָאמִינְק (b-wigwaam-ink) opens the clause—topic-fronted. The verb נֶסְקָאטֵאוֵין (nə-skaateaweyin, 'we kindle/light a fire') is Algonquian with person prefix—a core verb for fire-making from Eastern Algonquian. The object אוֹר ('light') is Hebrew, connecting the physical act to the abstract spiritual concept."
"and a little bear rests by our shoes.","וּמַחְקוֹשׁוּאֵשׁ וְאַאנְוֵי נְנַעֲלִינְק.","Hebrew conjunction וּ frames the clause. The noun מַחְקוֹשׁוּאֵשׁ (maxkošu-eš, 'little bear') uses the Algonquian word for 'bear' with diminutive suffix -אֵשׁ. The verb וְאַאנְוֵי (wə-aanwei, 's/he rests') is 3rd person Algonquian. The locative נְנַעֲלִינְק (n-na'al-ink, 'at our shoes') shows Hebrew noun נַעַל with 1st person possessive prefix נ־ and Algonquian locative—a fully hybrid formation."
"Roofs gather light, gardens rise from boxes,","גַּגִּים נֶמָאוֵינַאק אוֹר, גַּנִּים וְנִיתָּאוֵינַאק מֵאַרְגַּזִּין,","Hebrew plurals גַּגִּים ('roofs') and גַּנִּים ('gardens') function as subjects—domestic vocabulary appropriately Hebrew. The verbs נֶמָאוֵינַאק (nəmaaweinak, 'they gather') and וְנִיתָּאוֵינַאק (wə-nittaaweinak, 'they rise/grow') use Algonquian verb forms with 3rd person animate plural agreement. The preposition מֵ ('from') is Hebrew."
"assemblies arrange balance for the hearth.","עֲצוֹת מְסַדְּרוֹת מִדָּה לְאִישְׁקוֹטֵאוִינְק.","Hebrew abstract nouns עֲצוֹת ('assemblies/councils') and מִדָּה ('measure/balance') are appropriate in this civic/ethical domain. The verb מְסַדְּרוֹת is Hebrew (participle, 'arranging'). The locative לְאִישְׁקוֹטֵאוִינְק (l-ishkoteaw-ink, 'for the hearth/fire-place') uses Hebrew preposition ל־ plus Algonquian אִישְׁקוֹטֵאוּ ('fire') plus locative suffix."
"From house to house kindness calls,","מִוִּיגְוָאמִינְק לְוִיגְוָאמִינְק וְטֵפְוֵי חֶסֶד,","Parallel locatives מִוִּיגְוָאמִינְק ('from house-LOC') and לְוִיגְוָאמִינְק ('to house-LOC') use Hebrew prepositions מִ and ל־ with fully Algonquian locative nouns. The verb וְטֵפְוֵי (wə-tepwei, 'it calls/sounds') is 3rd person Algonquian. The subject חֶסֶד ('kindness/lovingkindness') is Hebrew—a key ethical term appropriately from the Hebrew component."
"and the people go on—hands at work, voices joined.","וְלֵנוּוָאק וְפֵּימוֹסֵאוַאק—יָדַיִם בְּעֲבוֹדָה, קוֹלוֹת מַאמָאוֵי.","The subject לֵנוּוָאק (lənuwaak, 'people/persons') uses Algonquian animate plural. The verb וְפֵּימוֹסֵאוַאק (wə-peimoseawak, 'they go/walk') is 3rd person animate plural Algonquian. The nominal phrase יָדַיִם בְּעֲבוֹדָה ('hands at work') is Hebrew. The final element קוֹלוֹת מַאמָאוֵי ('voices joined/gathered') combines Hebrew קוֹלוֹת with Algonquian מַאמָאוֵי ('gathered together')."
"And it came to pass in the room-place: three people were there—Mara, Jules, Tina;","וַיְהִי בְּוִיגְוָאמִינְק שְׁלֹשָׁה לֵנוּוָאק: מָאלָא, ג׳וּלֶס, טִינָא;","Classic Biblical Hebrew narrative opening וַיְהִי (wayyəhi, 'and it came to pass') initiates the wayyiqtol chain. The locative בְּוִיגְוָאמִינְק integrates seamlessly. The numeral שְׁלֹשָׁה ('three') is Hebrew. The noun לֵנוּוָאק (lənuwaak, 'people') uses Algonquian animate plural. Names follow, establishing the cast for proximate/obviative tracking."
"and a table was set, and sitting happened, and cups were lifted.","וַיֵּעָרֶךְ שֻׁלְחָנִינְק, וַיֵּשְׁבוּ, וַיִּשְׂאוּ מִנִיקְוָאגַנַאק.","Three wayyiqtol verbs drive the narrative: וַיֵּעָרֶךְ ('was arranged'), וַיֵּשְׁבוּ ('they sat'), וַיִּשְׂאוּ ('they lifted'). The noun שֻׁלְחָנִינְק (shulxan-ink, 'at the table') takes the locative suffix. The noun מִנִיקְוָאגַנַאק (minikwaagan-ak, 'cups') uses Algonquian with animate plural—cups are culturally animate as vessels of drink."
"And the lights went out suddenly, and the room-place became dark, and standing-still happened.","וַיִּכְבּוּ הָאוֹרוֹת פִּתְאֹם, וַיֶּחְשַׁךְ הַוִיגְוָאמִינְק, וַיַּעַמְדוּ דּוּם.","Wayyiqtol chain continues. The subject הָאוֹרוֹת ('the lights') uses Hebrew article and plural. The adverb פִּתְאֹם ('suddenly') is Hebrew. The locative הַוִיגְוָאמִינְק takes the Hebrew article ה־ plus Algonquian noun with locative—showing how Hebrew articles can attach to Algonquian formations."
"And a phone was raised for light, and phone-light struck that-one; and blinking happened, and lurching happened, and a knee met the table, and cups jumped.","וַיֵּרָם טֵלֶפּוּן לְאוֹר, וַיַּךְ אוֹר־טֵלֶפּוּן אֶת יוֹוָא; וַיִּמְצְמֵץ, וַיִּדָּחֵף, וַיִּפָּגַע בֶּרֶךְ בַּשֻׁלְחָן, וַיִּקְפְּצוּ מִנִיקְוָאגַנַאק.","Rapid wayyiqtol chain for slapstick momentum. The compound אוֹר־טֵלֶפּוּן ('phone-light') shows Hebrew compounding. The obviative יוֹוָא (yo-wa, 'that-one') marks a secondary 3rd-person participant—the person struck by light is not the narrative's current center. The noun מִנִיקְוָאגַנַאק uses Algonquian for 'cups.'"
"And this-one sought a candle, and a match was struck, and the smoke alarm cried out, and its cry turned them all.","וַיְּנָאטוֹנֵי יוֹ וָאסָאקוֹנֵינְדִיגַן, וַיַּךְ גַּפְרוּר, וַתִּזְעַק אַזְעָקַת־עָשָׁן, וַיָּסֹב קוֹלָהּ אֶת כֻּלָּם.","The verb וַיְּנָאטוֹנֵי (wa-yənaatoonei, 'and s/he sought') integrates Algonquian root into wayyiqtol frame. The proximate יוֹ (yo, 'this-one') marks the discourse center. The noun וָאסָאקוֹנֵינְדִיגַן (waasaakoneindigaan, 'candle/light-making-thing') is Algonquian. The compound אַזְעָקַת־עָשָׁן ('smoke-alarm,' lit. 'cry-of-smoke') is Hebrew, showing how modern compounds form naturally."
"And this-one rose to help, and went toward the breaker, and opened the wrong door-place, and coats fell upon this-one, and wrestling happened with sleeves in the dark.","וַיָּקָם יוֹ לְעֶזְרָה, וַיֵּלֶךְ אֶל הַמַּפְסֵק, וַיִּפְתַּח דֶּלֶטִינְק שְׁגוּיָה, וַיִּפְּלוּ מְעִילִים עָלָיו, וַיִּלָּחֶם בַּשְּׂרָוָלִים בַּחֹשֶׁךְ.","Wayyiqtol chain with proximate יוֹ as subject. The locative דֶּלֶטִינְק (delet-ink, 'door-place') applies Algonquian locative to Hebrew noun—a hybrid formation showing how Hebrew domestic vocabulary enters Algonquian morphology. The adjective שְׁגוּיָה ('wrong') is Hebrew."
"And a lantern came, and it was lit, and it flashed like a warning; and shadows leapt, and moving faces chased.","וַיָּבוֹא פָּנַאס, וַיֻּדְלַק, וַיִּבְרַק כְּאַזְהָרָה; וַיִּקְפְּצוּ צְלָלִים, וַיִּרְדְּפוּ פָּנִים נָעִים.","Wayyiqtol chain continues. The noun פָּנַאס (panaas, 'lantern') is borrowed vocabulary (from Arabic via trade). Hebrew simile כְּאַזְהָרָה ('like a warning') shows Hebrew's role in abstract comparison. The phrase פָּנִים נָעִים ('moving faces') is Hebrew—shadows and faces being more abstract/psychological."
"And this-one ran beneath the alarm, and fanned with a towel, and struck the spoon hanger, and the spoons rang/sang, and a lid fell, and clanging happened, and the pot boiled and spilled.","וַיָּרָץ יוֹ תַּחַת הָאַזְעָקָה, וַיָּנֵף בְּמַגֶּבֶת, וַיַּךְ בְּמַתְלֵה כַּפּוֹת, וַיִּנַחְקוֹהֻמִיּוּ הַכַּפּוֹת, וַיִּפֹּל מִכְסֶה, וַיִּרְעַם, וַיִּגַּעַשׁ הַסִּיר וַיִּגְּלֹשׁ.","The verb וַיִּנַחְקוֹהֻמִיּוּ (wa-yinaxkoohumiyuw, 'and they rang/sang') integrates the Algonquian sound-verb נַחְקוֹהוּמֵין into Hebrew wayyiqtol morphology—a key demonstration of how Algonquian roots can enter the narrative engine. This is the verb used in 'We Walk Well' for singing, here applied to metallic ringing."
"And water ran across the floor, and it made a shining path; and that-one stepped into it, and sliding happened, and hard-sitting happened, and laughter happened, and rising happened, and sliding happened again.","וַיָּרָץ מְבּוּי עַל הָרִצְפָּה, וַיַּעַשׂ תְּמָקָאן מַבְרִיק; וַיִּדְרֹךְ יוֹוָא בּוֹ, וַיִּגְלַשׁ, וַיֵּשֶׁב קָשֶׁה, וַיִּצְחַק, וַיָּקוּם, וַיִּגְלַשׁ עוֹד.","Two key Algonquian nouns anchor the scene: מְבּוּי (mbúy, 'water') and תְּמָקָאן (təmakaan, 'path'). The obviative יוֹוָא marks the person who slips—not the proximate actor from previous clauses. The rapid wayyiqtol chain (וַיִּגְלַשׁ, וַיֵּשֶׁב, וַיִּצְחַק, וַיָּקוּם, וַיִּגְלַשׁ) creates slapstick pacing."
"And this-one escaped the coats, and hurried back, and a foot found the wet, and slipping happened, and tools flew, and they scattered like stones.","וַיִּמָּלֵט יוֹ מִן הַמְּעִילִים, וַיָּרָץ חָזָר, וַיִּמְצָא רַגְלוֹ אֶת הָרָטוֹב, וַיַּחְלִיק, וַיָּעֻפוּ כֵּלָיו, וַיִּתְפַּזְּרוּ כַּאֲסוּנַאק.","Proximate יוֹ returns as subject. The simile כַּאֲסוּנַאק (ka-asun-ak, 'like stones') uses Hebrew comparative כְּ plus Algonquian אֲסוּן ('stone') with animate plural -אַק. Stones taking animate plural reflects Algonquian animacy—stones are culturally significant and grammatically animate in many contexts."
"And this-one knelt to gather, and the lantern rolled, and it flashed under the couch, and it lit ankles from below, and dancing happened without intention.","וַיִּכְרַע יוֹ לְקַבֵּץ, וַיִּתְגַּלְגֵּל הַפָּנַאס, וַיַּבְרֵק תַּחַת הַסַּפָּה, וַיָּאֶר מִלְּמַטָּה קַרְסֻלַּיִם, וַיִּרְקְדוּ בְּלִי רָצוֹן.","Wayyiqtol chain continues with Hebrew verbs in the narrative register. The phrase בְּלִי רָצוֹן ('without intention') is Hebrew, expressing an abstract concept. The humor emerges from the relentless narrative propulsion—each וַיִּ- pushes the chaos forward."
"And the power returned suddenly, and the lights came on, and they were revealed in the room-place:","וַיָּשָׁב הַכֹּחַ פִּתְאֹם, וַיֵּאֹרוּ הָאוֹרוֹת, וַיִּגָּלוּ בַּוִיגְוָאמִינְק:","The wayyiqtol chain reaches its climax. The locative בַּוִיגְוָאמִינְק (ba-wigwaam-ink) frames the revelation—returning to the opening setting. The passive וַיִּגָּלוּ ('they were revealed') sets up the tableau that follows."
"that-one on the floor, and this-one clutching a coat, and another that-one kneeling among tools, and the pot hissing over the edge.","יוֹוָא עַל הָרִצְפָּה, וְיוֹ אָחוּז בְּמְעִיל, וְעוֹד יוֹוָא כֹּרֵעַ בֵּין כֵּלִים, וְהַסִּיר שׁוֹרֵק מֵעַל הַשָּׂפָה.","A tableau using the proximate/obviative system to track multiple participants: יוֹוָא ('that-one,' obviative), יוֹ ('this-one,' proximate), וְעוֹד יוֹוָא ('and another that-one'). This demonstrates the system's power—three people are distinguished without names, purely through grammatical tracking. Hebrew nominative clauses (no wayyiqtol) freeze the moment."
"And looking happened—this-one at that-one—and laughter happened.","וַיִּרְאוּ יוֹ בְּיוֹוָא, וַיִּצְחְקוּ.","The narrative resolves: יוֹ בְּיוֹוָא ('this-one at that-one') shows the proximate and obviative participants finally meeting each other's gaze. The shared laughter וַיִּצְחְקוּ dissolves the distinction—they become unified in the moment."
"And it shall be that whenever the lights tremble thereafter—they shall seize their cups, and they shall stand far from the stove, and they shall look one upon another, and they shall laugh.","וְהָיָה כָּל־פַּעַם אֲשֶׁר יִרְעֲדוּ הָאוֹרוֹת מִכָּאן וָהָלְאָה—וְאָחֲזוּ מִנִיקְוָאגַנֵיהֶם, וְעָמְדוּ רָחוֹק מִן הָאִישְׁקוֹטֵאוּ, וְהִבִּיטוּ יוֹ בְּיוֹוָא, וְצָחֲקוּ.","The coda shifts to weqatal construction וְהָיָה...וְאָחֲזוּ...וְעָמְדוּ ('and it shall be...and they shall seize...and they shall stand'), converting the one-time incident into a permanent pattern. The possessive מִנִיקְוָאגַנֵיהֶם ('their cups') uses Algonquian stem with Hebrew possessive suffix. The locative מִן הָאִישְׁקוֹטֵאוּ ('from the fire') uses Algonquian אִישְׁקוֹטֵאוּ for 'fire/stove.' The proximate/obviative יוֹ בְּיוֹוָא echoes the climactic moment, now ritualized into their shared memory."
