"conlang","english","etymology_in_conlang"
"תְּפַקְסְנִיוּ","it gives to us (inverse)","פֹּעַל אַלְגוֹנְקְוִינִי בְּמִבְנֶה הָפוּךְ—דָּבָר לֹא-חַי פּוֹעֵל עַל מְקַבְּלִים חַיִּים. הַיַּחַס בֵּין פּוֹעֵל וּמְקַבֵּל יָכוֹל לְהִתְהַפֵּךְ."
"לָנוּ","to us","כִּנּוּי יַחַס עִבְרִי. הַמִּלִּים הַקְּטַנּוֹת בָּאוֹת מֵעִבְרִית."
"אוֹר","light","עִבְרִית or, שֵׁם עֶצֶם רוּחָנִי גָּדוֹל. אֵשׁ פִיזִית אוּלַי אַלְגוֹנְקְוִינִית; אוֹר רוּחָנִי עִבְרִי."
"גַנָאוֵין","to tend, maintain, care for","פֹּעַל אַלְגוֹנְקְוִינִי לְטִפּוּל זָהִיר בִּדְבָרִים. אוֹצַר מִלִּים שֶׁל עֲבוֹדַת יָדַיִם מֵהָאָרֶץ."
"כֵּלִים","tools","עִבְרִית kelim עִם רִבּוּי זָכָר. אוֹצַר מִלִּים בֵּיתִי שֶׁהָיָה מְשֻׁתָּף מֻקְדָּם בְּמַגָּע."
"קוּלְמַאהְקֵין","to shape, craft, form","פֹּעַל אַלְגוֹנְקְוִינִי לְעִצּוּב וִיצִירָה. עֲשִׂיָּה פִיזִית בָּאָה מֵאַלְגוֹנְקְוִין."
"פּוּמָאוֵין","to carry, bear along","פֹּעַל אַלְגוֹנְקְוִינִי לְהוֹבָלָה פִיזִית. אוֹצַר מִלִּים שֶׁל תְּנוּעָה מֵהָאָרֶץ."
"פְּרִי","fruit","עִבְרִית pri. אוֹצַר מִלִּים חַקְלָאִי שֶׁעָבַר מֻקְדָּם."
"וָאסָאקְוֵין","to glow, shine","פֹּעַל אַלְגוֹנְקְוִינִי לְזֹהַר. מִלִּים לְאֵיכוּת אוֹר מֵאַלְגוֹנְקְוִין."
"מִקְוֵינְדַאמֵין","to remember, hold in mind","פֹּעַל זִכָּרוֹן אַלְגוֹנְקְוִינִי. כְּשֶׁזּוֹכְרִים אֶת הָאָרֶץ, שְׂפַת הָאָרֶץ נוֹשֵׂאת אֶת הַזִּכָּרוֹן."
"תְּמָקָאנַאק","paths (plural)","תְּמָקָאן עִם אַחְרָא רִבּוּי לֹא-חַי -אַק. דְּרָכִים כְּקַטֵגוֹרְיָה."
"סְוַאנִינְק","beside the waters, at the water-place","לוֹקָטִיב אַלְגוֹנְקְוִינִי שָׁלֵם: מְקוֹם הַמַּיִם עִם -ינְק. בְּלִי יַחַס עִבְרִי."
"מִּינֵין","to give","פֹּעַל אַלְגוֹנְקְוִינִי לִנְתִינָה. עִם נֶ־: 'אֲנַחְנוּ נוֹתְנִים.'"
"עֶזְרָה","help, aid","עִבְרִית ezrah. שֵׁמוֹת אֶתִיִּים מֻפְשָׁטִים מֵעִבְרִית."
"פַּחְקְוֵינָה","to one another, reciprocally","תֵּאוּר אַלְגוֹנְקְוִינִי לַהֲדָדִיּוּת, הָלוֹךְ וָשׁוֹב בֵּין אֲנָשִׁים. אוֹצַר מִלִּים עָשִׁיר לְקִשְׁרֵי חֶבְרָה."
"אוֹשֵׁין","to build, make, do","פֹּעַל אַלְגוֹנְקְוִינִי לִבְנִיָּה וַעֲשִׂיָּה פִיזִית. יְצִירָה מְמַשִּׁית מִשְּׂפַת הָאָרֶץ."
"יַחַד / בְּיַחַד","together","עִבְרִית yachad. פְּעֻלָּה קְהִלָּתִית מְבֻטַּאַת כְּתֵאוּר, לֹא בְּתוֹךְ הַפֹּעַל."
"פַּטִּישׁ","hammer","עִבְרִית patish. אוֹצַר מִלִּים שֶׁל כְּלֵי עֲבוֹדָה בֵּיתִיִּים."
"נְשִׁימָה","breath","עִבְרִית nəshimah. אוֹצַר מִלִּים פְּנִימִי, רוּחָנִי."
"פֵּייָאק","one","מִסְפָּר אַלְגוֹנְקְוִינִי. סְפִירָה יוֹם-יוֹמִית מֵאַלְגוֹנְקְוִין; מִסְפָּרִים קְדוֹשִׁים אוּלַי עִבְרִיִּים."
"אֲבִינוֹדְיִין","child","מִלָּה אַלְגוֹנְקְוִינִית לְיֶלֶד. אוֹצַר מִלִּים שֶׁל קִרְבָה וְשַׁלְבֵי חַיִּים מֵהָאָרֶץ."
"אֲבִינוֹדְיִינְשׁ","small child, little one (diminutive)","גֶּזַע אֲבִינוֹדְיִין עִם אַחְרָא הַקְטָנָה -שׁ. חִבָּה, קְטַנּוּת, גִּיל צָעִיר."
"פֵּיטַאוֵי","s/he brings, carries to","פֹּעַל אַלְגוֹנְקְוִינִי עִם קַדְמָא גּוּף שְׁלִישִׁי וְ־. אוֹצַר מִלִּים שֶׁל הֲבָאָה וְהוֹבָלָה."
"סְקָאטֵאוֵין","to kindle fire, make light","פֹּעַל אַלְגוֹנְקְוִינִי קְרִיטִי—הַדְלָקַת אֵשׁ הָיְתָה מֶרְכָּזִית בְּחַיֵּי יוֹם-יוֹם וּבְטֶקֶס. עִם נֶ־: 'אֲנַחְנוּ מַדְלִיקִים.'"
"מַחְקוֹשׁוּ","bear","מִלָּה אַלְגוֹנְקְוִינִית מִזְרָחִית לְדֹב. אוֹצַר מִלִּים שֶׁל חַיּוֹת מֵהָאָרֶץ."
"מַחְקוֹשׁוּאֵשׁ","little bear (diminutive)","דֹּב עִם אַחְרָא הַקְטָנָה -אֵשׁ. מְחַבֵּב, קָטָן, צָעִיר."
"אַאנְוֵי","s/he rests, lies down","פֹּעַל אַלְגוֹנְקְוִינִי עִם סִימּוּן גּוּף שְׁלִישִׁי. אוֹצַר מִלִּים בֵּיתִי, רָגוּעַ."
"נַעַל","shoe","עִבְרִית na'al. אוֹצַר מִלִּים בֵּיתִי."
"נְנַעַל","our shoes (possessive)","שֵׁם עִבְרִי נַעַל עִם קַדְמָא קִנְיָן אַלְגוֹנְקְוִינִי נְ־ ('שֶׁלָּנוּ'). מוֹרְפוֹלוֹגְיָה הִיבְּרִידִית."
"נְנַעֲלִינְק","at our shoe-place (locative)","שִׁלּוּשׁ הִיבְּרִידִי: שֵׁם עִבְרִי + קַדְמָא קִנְיָן אַלְגוֹנְקְוִינִי + אַחְרָא לוֹקָטִיב אַלְגוֹנְקְוִינִי. הַשְּׂפָתוֹת מִתְמַזְּגוֹת."
"גַּגִּים","roofs","עִבְרִית gagim עִם רִבּוּי זָכָר. אוֹצַר מִלִּים אֲדְרִיכָלִי."
"מָאוֵינַאק","they gather (animate plural)","פֹּעַל אַלְגוֹנְקְוִינִי עִם הַתְאָמַת רִבּוּי חַי -אַק. הַגַּגִּים אוֹסְפִים כְּסוֹכְנִים חַיִּים."
"גַּנִּים","gardens","עִבְרִית ganim עִם רִבּוּי זָכָר. אוֹצַר מִלִּים שֶׁל גִּנּוּן."
"נִיתָּאוֵינַאק","they rise, grow (animate plural)","פֹּעַל אַלְגוֹנְקְוִינִי לַעֲלִיָּה/צְמִיחָה עִם הַתְאָמַת רִבּוּי חַי. גַּנִּים עוֹלִים כִּדְבָרִים חַיִּים."
"אַרְגַּזִּין","boxes","רִבּוּי עִבְרִי. אוֹצַר מִלִּים שֶׁל מְכָלִים."
"עֲצוֹת","assemblies, councils","עִבְרִית atzot. אוֹצַר מִלִּים מֻפְשָׁט שֶׁל מִמְשָׁל, דּוֹרֵשׁ רֶגִיסְטֶר רִשְׁמִי."
"מְסַדְּרוֹת","to arrange (participle)","בֵּינוֹנִי עִבְרִי. מוֹעָצוֹת מִתְיַעֲצוֹת בְּעִבְרִית."
"מִדָּה","measure, balance","עִבְרִית midah. מְדִידָה אֶתִית מֻפְשֶׁטֶת."
"אִישְׁקוֹטֵאוִינְק / אִישְׁקוֹטֵאוּ","hearth, fire-place (locative) / stove, fire","אַלְגוֹנְקְוִינִי ishkotew (אֵשׁ) עִם אַחְרָא לוֹקָטִיב. הָאֵשׁ שֶׁמְּחַמֶּמֶת אֶת כֻּלָּם."
"טֵפְוֵי","s/he calls, sounds","פֹּעַל קוֹל/צְלִיל אַלְגוֹנְקְוִינִי עִם סִימּוּן גּוּף שְׁלִישִׁי."
"חֶסֶד","kindness, lovingkindness, covenant loyalty","עִבְרִית chesed, בִּלְתִּי-מִתְתַּרְגֶּמֶת. אַהֲבַת אֱמוּנִים, נֶאֱמָנוּת בְּרִית, חֶסֶד."
"לֵנוּוָאק","the people (animate plural)","לֶנַאפֶּה lənuw (אָדָם) עִם רִבּוּי חַי -אַק. כָּךְ נִקְרָאִים הָאֲנָשִׁים."
"פֵּימוֹסֵאוַאק","they go, walk on, continue","פֹּעַל תְּנוּעָה אַלְגוֹנְקְוִינִי עִם הַתְאָמַת רִבּוּי. הָאֲנָשִׁים הוֹלְכִים הָלְאָה."
"יָדַיִם","hands","עִבְרִית yadayim, צוּרַת זוּג. אוֹצַר מִלִּים שֶׁל גּוּף."
"עֲבוֹדָה","work, labor","עִבְרִית avodah. עֲבוֹדָה כְּמֻשָּׂג."
"קוֹלוֹת","voices","עִבְרִית kolot, רִבּוּי. צְלִיל כְּמֻשָּׂג מֻפְשָׁט."
"מַאמָאוֵי","together, gathered, joined","תֵּאוּר אַלְגוֹנְקְוִינִי לְאַחְדוּת, הִתְכַּנְּסוּת יַחַד. אוֹצַר מִלִּים חֶבְרָתִי עָשִׁיר."
"וַיְהִי","and it came to pass","פְּתִיחַת סִפּוּר מִקְרָאִית עִבְרִית. מַפְעִילָה אֶת מְנוֹעַ הַוַּיִּקְטֹל—מִכָּאן, כָּל וַיִּ־ דּוֹחֵף אֶת הַסִּפּוּר קָדִימָה."
"שְׁלֹשָׁה","three","מִסְפָּר עִבְרִי. סְפִירָה קְדוֹשָׁה/רִשְׁמִית."
"וַיֵּעָרֶךְ","was set, arranged (passive)","וַיִּקְטֹל עִבְרִי סָבִיל. מְנוֹעַ הַסִּפּוּר."
"וַיֵּשְׁבוּ","they sat","וַיִּקְטֹל עִבְרִי. פְּעֻלַּת סִפּוּר רְצִיפָה."
"וַיִּשְׂאוּ","they lifted","וַיִּקְטֹל עִבְרִי. כָּל פֹּעַל מְקַדֵּם אֶת הַזְּמַן."
"מִנִיקְוָאגַנַאק","cups (animate plural)","אַלְגוֹנְקְוִינִי minəkwaagan (כּוֹס) עִם רִבּוּי חַי -אַק. כּוֹסוֹת חַיּוֹת—הֵן מַחְזִיקוֹת שְׁתִיָּה לַאֲנָשִׁים, מִשְׁתַּתְּפוֹת בְּהַכְנָסַת אוֹרְחִים."
"פִּתְאֹם","suddenly","עִבְרִית pit'om. תֵּאוּר זְמַן."
"וַיֶּחְשַׁךְ","it became dark","וַיִּקְטֹל עִבְרִי לְבוֹא חֹשֶׁךְ."
"וַיַּעַמְדוּ דּוּם","they stood still","בִּטּוּי עִבְרִי: עָמְדוּ + דּוּם. הָרֶגַע הַקָּפוּא."
"טֵלֶפּוּן","phone, telephone","מִלַּת הַשְׁאָלָה מוֹדֶרְנִית מֻתְאֶמֶת לְכְתִיב עִבְרִי."
"אוֹר־טֵלֶפּוּן","phone-light (compound)","צֵרוּף בְּסִגְנוֹן עִבְרִי: אוֹר + טֵלֶפּוּן. חַיִּים מוֹדֶרְנִיִּים, דִּקְדּוּק עַתִּיק."
"יוֹ","this one (proximate)","חֶלְקִיק מַעֲקָב שִׂיחָה הַמְסַמֵּן מֶרְכַּז תְּשׂוּמַת הַלֵּב הַנָּרָטִיבִית הַנּוֹכְחִית. לֹא צְרִיכִים שֵׁם."
"יוֹוָא","that one (obviative)","חֶלְקִיק מַעֲקָב שִׂיחָה עִם אַחְרָא אוֹבְיָאטִיב -וָא. הַגּוּף הַשְּׁלִישִׁי הָאַחֵר הַבּוֹלֵט, 'מֵאֲחוֹרֵי הַקְּלָעִים.'"
"וַיִּמְצְמֵץ","s/he blinked","וַיִּקְטֹל עִבְרִי. פְּעֻלַּת סְלֶפְסְטִיק מְהִירָה."
"וַיִּדָּחֵף","s/he lurched, was pushed","וַיִּקְטֹל עִבְרִי הִתְפַּעֵל/סָבִיל. קוֹמֵדְיָה פִיזִית."
"בֶּרֶךְ","knee","עִבְרִית berekh. אוֹצַר מִלִּים שֶׁל גּוּף."
"וַיִּקְפְּצוּ","they jumped","וַיִּקְטֹל עִבְרִי. עוֹד מוֹמֶנְטוּם סְלֶפְסְטִיק."
"נָאטוֹנֵי","s/he sought, looked for","פֹּעַל אַלְגוֹנְקְוִינִי לְחִפּוּשׂ. יָכוֹל לְהִכָּנֵס לְמִסְגֶּרֶת וַיִּקְטֹל כְּ-וַיְּנָאטוֹנֵי."
"וָאסָאקוֹנֵינְדִיגַן","candle, light-making-thing","צֵרוּף אַלְגוֹנְקְוִינִי שָׁלֵם: waasaakonenjigan, 'דָּבָר שֶׁעוֹשֶׂה אוֹר.' חֵפֶץ טִקְסִי."
"גַּפְרוּר","match","עִבְרִית gafrur. הַדְלָקַת אֵשׁ בֵּיתִית."
"אַזְעָקַת־עָשָׁן","smoke alarm (compound)","צֵרוּף עִבְרִי: צְעָקָה-שֶׁל-עָשָׁן. מְכָשִׁיר מוֹדֶרְנִי, תַּבְנִית עַתִּיקָה."
"קוֹלָהּ","its cry, its voice","שֵׁם עִבְרִי עִם אַחְרָא קִנְיָן נְקֵבָה. קוֹל הָאַזְעָקָה."
"מַפְסֵק","breaker, switch","עִבְרִית mafsek. אוֹצַר מִלִּים טֶכְנִי."
"דֶּלֶת","door","עִבְרִית delet. אוֹצַר מִלִּים אֲדְרִיכָלִי."
"דֶּלֶטִינְק","door-place (locative)","שֵׁם עִבְרִי + אַחְרָא לוֹקָטִיב אַלְגוֹנְקְוִינִי. מוֹרְפוֹלוֹגְיָה הִיבְּרִידִית בִּפְעֻלָּה."
"שְׁגוּיָה","wrong, mistaken","תֹּאַר עִבְרִי."
"מְעִילִים","coats","עִבְרִית me'ilim, רִבּוּי. אוֹצַר מִלִּים שֶׁל בְּגָדִים."
"שְּׂרָוָלִים","sleeves","עִבְרִית sharvulim, רִבּוּי. אוֹצַר מִלִּים שֶׁל בְּגָדִים."
"הַחֹשֶׁךְ","the dark, darkness","עִבְרִית hachoshekh עִם ה־ הַיְּדִיעָה. אוֹצַר מִלִּים מֻפְשָׁט/רוּחָנִי."
"פָּנַאס","lantern","מִלַּת הַשְׁאָלָה מֻתְאֶמֶת לְעִבְרִית. חֵפֶץ נוֹשֵׂא אוֹר."
"כְּאַזְהָרָה","like a warning","דִּמּוּי עִבְרִי: כְּ (כְּמוֹ) + אַזְהָרָה. מִבְנֶה הַשְׁוָאָה."
"צְלָלִים","shadows","עִבְרִית tzəlalim. אוֹצַר מִלִּים מֻפְשָׁט, מוּזָר."
"פָּנִים","faces","עִבְרִית panim. אוֹצַר מִלִּים מֻפְשָׁט/פְּסִיכוֹלוֹגִי."
"מַגֶּבֶת","towel","עִבְרִית magevet. אוֹצַר מִלִּים בֵּיתִי."
"מַתְלֵה כַּפּוֹת","spoon hanger","צֵרוּף עִבְרִי: מַתְלֶה + כַּפּוֹת."
"כַּפּוֹת","spoons","עִבְרִית kapot. אוֹצַר מִלִּים בֵּיתִי."
"וַיִּנַחְקוֹהֻמִיּוּ הַכַּפּוֹת","the spoons rang/sang","פֹּעַל אַלְגוֹנְקְוִינִי בְּמִסְגֶּרֶת וַיִּקְטֹל! פֹּעַל הַשִּׁירָה/הַצִּלְצוּל מְתָאֵר כַּפּוֹת מֻכּוֹת."
"מִכְסֶה","lid, cover","עִבְרִית mikhseh. אוֹצַר מִלִּים בֵּיתִי."
"וַיִּרְעַם","it thundered, clanged","וַיִּקְטֹל עִבְרִי. צְלִיל פְּגִיעָה."
"סִּיר","pot","עִבְרִית sir. אוֹצַר מִלִּים שֶׁל בִּשּׁוּל."
"וַיִּגַּעַשׁ","it boiled","וַיִּקְטֹל עִבְרִי לְפַעֲלוֹלִים, רְתִיחָה."
"וַיִּגְּלֹשׁ","it spilled, overflowed","וַיִּקְטֹל עִבְרִי לִשְׁפִיכָה."
"מְבּוּי","water","מוּנְסִי mbuy. אוֹצַר מִלִּים שֶׁל יְסוֹדוֹת מֵהָאָרֶץ. עִצּוּר קְדִים-אַפִּי נִשְׁמָר."
"רִצְפָּה","floor","עִבְרִית ritzpah. אוֹצַר מִלִּים אֲדְרִיכָלִי."
"מַבְרִיק","shining, bright","תֹּאַר/בֵּינוֹנִי עִבְרִי."
"וַיִּדְרֹךְ","s/he stepped","וַיִּקְטֹל עִבְרִי לִדְרִיכָה."
"וַיִּגְלַשׁ","s/he slid","וַיִּקְטֹל עִבְרִי לְהַחְלָקָה. חֲזָרָה קוֹמִית אֶפְשָׁרִית."
"וַיֵּשֶׁב קָשֶׁה","s/he sat hard","בִּטּוּי עִבְרִי: יָשַׁב + קָשֶׁה. קוֹמֵדְיָה פִיזִית."
"וַיִּצְחַק","s/he laughed","וַיִּקְטֹל עִבְרִי לִצְחוֹק."
"וַיָּקוּם","s/he rose, got up","וַיִּקְטֹל עִבְרִי לַקִּימָה."
"עוֹד","still, more, again","עִבְרִית od. חֶלְקִיק הֶמְשֵׁכִי."
"וַיִּמָּלֵט","s/he escaped","וַיִּקְטֹל עִבְרִי לִבְרִיחָה."
"חָזָר","back, returning","תֵּאוּר עִבְרִי לִתְנוּעַת חֲזָרָה."
"רֶגֶל","foot","עִבְרִית regel. אוֹצַר מִלִּים שֶׁל גּוּף."
"הָרָטוֹב","the wet (substantive)","תֹּאַר עִבְרִי בְּשִׁמּוּשׁ כְּשֵׁם עִם ה־ הַיְּדִיעָה."
"וַיַּחְלִיק","s/he slipped","וַיִּקְטֹל עִבְרִי לְהַחְלָקָה."
"וַיָּעֻפוּ","they flew","וַיִּקְטֹל עִבְרִי לְעִפְעוּף/פִּזּוּר."
"וַיִּתְפַּזְּרוּ","they scattered","וַיִּקְטֹל עִבְרִי לְהִתְפַּזְּרוּת."
"כַּאֲסוּנַאק","like stones","כְּ עִבְרִי הַשְׁוָאָתִי + אֲסוּן אַלְגוֹנְקְוִינִי (אֶבֶן) + רִבּוּי חַי -אַק. אֲבָנִים חַיּוֹת—הֵן מִשְׁתַּתְּפוֹת בָּעוֹלָם."
"אֲסוּן / אֲסוּנַאק","stone/stones","לֶנַאפֶּה asun. לוֹקֵחַ רִבּוּי חַי כִּי אֲבָנִים חֲשׁוּבוֹת, הֵן מִשְׁתַּתְּפוֹת בָּעוֹלָם."
"וַיִּכְרַע","s/he knelt","וַיִּקְטֹל עִבְרִי לִכְרִיעָה."
"לְקַבֵּץ","to gather, collect","מָקוֹר עִבְרִי."
"וַיִּתְגַּלְגֵּל","it rolled","וַיִּקְטֹל עִבְרִי לְהִתְגַּלְגְּלוּת."
"וַיַּבְרֵק","it flashed","וַיִּקְטֹל עִבְרִי לְהַבְזָקָה."
"סַפָּה","couch, sofa","עִבְרִית sapah. אוֹצַר מִלִּים שֶׁל רָהִיטִים."
"וַיָּאֶר","it lit, illuminated","וַיִּקְטֹל עִבְרִי לְהֶאָרָה."
"מִלְּמַטָּה","from below","צֵרוּף יַחַס עִבְרִי."
"קַרְסֻלַּיִם","ankles","עִבְרִית karsulayim, צוּרַת זוּג. אוֹצַר מִלִּים שֶׁל גּוּף."
"וַיִּרְקְדוּ","they danced","וַיִּקְטֹל עִבְרִי לְרִקּוּד."
"בְּלִי רָצוֹן","without intention, unwillingly","בִּטּוּי עִבְרִי: בְּלִי + רָצוֹן. מֻפְשָׁט/פְּסִיכוֹלוֹגִי."
"כֹּחַ","power, strength, electricity","עִבְרִית koach. אוֹצַר מִלִּים שֶׁל כֹּחַ מֻפְשָׁט/פִיזִי."
"וַיָּשָׁב","it returned","וַיִּקְטֹל עִבְרִי לַחֲזָרָה."
"וַיֵּאֹרוּ","they were lit, came on","וַיִּקְטֹל עִבְרִי סָבִיל לְהֶדְלָקַת אוֹרוֹת."
"וַיִּגָּלוּ","they were revealed","וַיִּקְטֹל עִבְרִי סָבִיל. חֲשִׂיפָה פִּתְאוֹמִית."
"אָחוּז","grasping, clutching","בֵּינוֹנִי עִבְרִי סָבִיל. מַצָּב שֶׁל אֲחִיזָה."
"מְעִיל","coat","עִבְרִית me'il, יָחִיד."
"כֹּרֵעַ","kneeling","בֵּינוֹנִי עִבְרִי. מַצָּב שֶׁל כְּרִיעָה."
"בֵּין","among, between","יַחַס עִבְרִי."
"שׁוֹרֵק","hissing, whistling","בֵּינוֹנִי עִבְרִי לִצְלִיל שְׁרִיקָה."
"שָׂפָה","edge, lip, rim","עִבְרִית safah. שָׂפַת כְּלִי."
"וַיִּרְאוּ","they saw, looked","וַיִּקְטֹל עִבְרִי לִרְאִיָּה."
"וַיִּצְחְקוּ","they laughed (together)","וַיִּקְטֹל עִבְרִי רִבּוּי. צְחוֹק מְשֻׁתָּף בְּלִי נוֹשֵׂא מְפֹרָשׁ."
"וְהָיָה","and it shall be (consequential)","מִבְנֶה וְקָטַל עִבְרִי. הוֹפֵךְ סִפּוּר חַד-פַּעֲמִי לְדֶפֶס קָבוּעַ."
"כָּל־פַּעַם","every time, whenever","בִּטּוּי עִבְרִי: כָּל + פַּעַם."
"אֲשֶׁר","that, which (relativizer)","זִקָּה עִבְרִית."
"יִרְעֲדוּ","they tremble","עָתִיד עִבְרִי. רְעִידָה עֲתִידִית/רְגִילָה."
"מִכָּאן וָהָלְאָה","thereafter, from here on","בִּטּוּי עִבְרִי: מִכָּאן וְהָלְאָה."
"וְאָחֲזוּ","they shall seize","וְקָטַל עִבְרִי לִפְעֻלָּה עֲתִידִית תּוֹצָאָתִית."
"מִנִיקְוָאגַנֵיהֶם","their cups","גֶּזַע אַלְגוֹנְקְוִינִי לְ'כּוֹסוֹת' + אַחְרָא קִנְיָן עִבְרִי -הֶם. מוֹרְפוֹלוֹגְיָה הִיבְּרִידִית."
"וְעָמְדוּ","they shall stand","וְקָטַל עִבְרִי."
"רָחוֹק","far, distant","תֹּאַר עִבְרִי."
"שֻׁלְחָן","table","עִבְרִית shulchan. אוֹצַר מִלִּים שֶׁל רָהִיטִים."
"שֻׁלְחָנִינְק","at the table (locative)","שֵׁם עִבְרִי + אַחְרָא לוֹקָטִיב אַלְגוֹנְקְוִינִי."
"לֵנוּ","person (singular)","לֶנַאפֶּה lənuw. צוּרַת בָּסִיס לִפְנֵי רִבּוּי."
"נְ־ / נֶ־","we (1st person prefix)","קַדְמָא גּוּף אַלְגוֹנְקְוִינִי. מִתְחַבֵּר לְפֹעֲלִים וּשְׁמוֹת בְּקִנְיָן."
"קְ־ / כְּ־","you (2nd person prefix)","קַדְמָא גּוּף אַלְגוֹנְקְוִינִי."
"וְ־","s/he (3rd person prefix)","קַדְמָא גּוּף אַלְגוֹנְקְוִינִי."
"־ינְק / ־ֶנְק","locative suffix","אַחְרָא אַלְגוֹנְקְוִינִי לְמָקוֹם: בְּ, עַל, לְיַד."
"־אֵשׁ / ־שׁ","diminutive suffix","אַחְרָא אַלְגוֹנְקְוִינִי לִקְטַנּוּת, חִבָּה, גִּיל צָעִיר."
"־וָא","obviative suffix","אַחְרָא אַלְגוֹנְקְוִינִי לְסִימּוּן 'הָאַחֵר' בְּמַעֲקָב שִׂיחָה."
